,theta_1,theta_2
0,10.928769161592855,-0.1694828644507098
1,13.423745784221707,-0.19611407423582533
2,18.46165636725717,-0.28951699875145886
3,13.366772782490742,-0.2179538546669704
4,15.660048247501406,-0.23502769554342526
5,13.303661709340766,-0.20186818562112438
6,18.991515800507607,-0.2842225595663082
7,15.564620348187379,-0.23563827758162498
8,18.65310117961387,-0.28714430811502023
9,7.385892420204588,-0.12965109018101234
10,14.984759688235421,-0.2260560468949259
11,20.023470157134206,-0.3056900738390223
12,20.286170037588107,-0.3005631399454863
13,10.752767035705634,-0.17985363254214282
14,18.550711131744187,-0.2930436838139753
15,16.890854475042083,-0.26526654986309256
16,8.34173750786863,-0.13145770694038383
17,21.393789711974854,-0.321225815569113
18,20.436475122859065,-0.31532343838675475
19,14.929928277858787,-0.231797930995205
20,16.914537120066306,-0.2632691767072711
21,20.092473542924118,-0.29833032886982835
22,18.472595571952674,-0.286059161035606
23,18.879187388408212,-0.27959041854412725
24,12.30352997944116,-0.19209442143619843
25,9.200010622576517,-0.14187923707057154
26,20.07909604207081,-0.2883593374011465
27,18.79826028252463,-0.26454719660912895
28,18.078985897596546,-0.270141047689084
29,11.532327684616185,-0.19468118084401198
30,11.693701306825428,-0.18088380893448408
31,14.851346792140598,-0.22612770160953344
32,16.602715519011817,-0.2353493139989959
33,13.717639895176832,-0.20753173371362107
34,9.046734599637416,-0.13854558342608786
35,7.139516040025902,-0.11390161883067434
36,15.599943301283584,-0.24843047690687742
37,20.638200824834335,-0.3127247251586836
38,10.440911310315082,-0.15281044550467843
39,21.084125889723808,-0.329524862972264
40,10.901123744022971,-0.1664606555851606
41,8.140789299457428,-0.14206906226135368
42,19.869479273409134,-0.29471862694753476
43,20.833863147665944,-0.31293803600925085
44,20.55601713475818,-0.33117807536033517
45,14.373551476751812,-0.22649451025826153
46,20.034449761823026,-0.3146926109592519
47,13.08586480916752,-0.2171148294289676
48,17.264560733207837,-0.26885741540644237
49,23.36068325268272,-0.3570607878829825
50,19.48685446335822,-0.3018678379085829
51,25.70931881460431,-0.38122783502608826
52,19.18917331437715,-0.2854904594257965
53,15.412530582586019,-0.24285353722404016
54,19.097330633439235,-0.2870294253505945
55,17.87889158539508,-0.2665582153267306
56,23.40848971350583,-0.34542564038149826
57,13.891891626187578,-0.20347802561927497
58,5.788349159963674,-0.09376519278501694
59,14.259659610629646,-0.22356256823638343
60,10.993284010879433,-0.17641238673583975
61,13.099921621408024,-0.20627894735333646
62,13.371354259321315,-0.2049780330898505
63,15.77266430235705,-0.23239996800706866
64,14.315787337371209,-0.22230074187632703
65,11.387932258803863,-0.18306432898250452
66,12.252953105490903,-0.17967776058321705
